fold,period_idx,date,split,pnl_realized_next_step,objective,turnover_l1,risk_cov,risk_diag_equiv
330,330,2026-03-29 00:00:00+00:00,test,-0.00010707044761187953,0.0452502083805805,0.17964728459019874,0.001050352664186456,0.0010503345490110519
331,331,2026-03-30 00:00:00+00:00,test,-0.00016755518829696627,0.018603013700538296,0.6597307916855993,0.0031981107874013643,0.0031980552835684474
332,332,2026-03-31 00:00:00+00:00,test,-0.00015305865200463097,0.030957798471702255,0.5026618688861719,0.0024454956806292246,0.0024454557711179052
333,333,2026-04-01 00:00:00+00:00,test,-0.00016721476401187048,0.04324695043982134,0.18686652152138916,0.0028917549537160296,0.002891706125146385
334,334,2026-04-02 00:00:00+00:00,test,-0.000172628794816763,0.03255806031256238,0.4444367763466892,0.002005741063385183,0.0020057080740675287
335,335,2026-04-03 00:00:00+00:00,test,-0.00011195653666656207,0.022324325397956327,0.2765032534997235,0.0026163818693094717,0.002616339096871647
336,336,2026-04-04 00:00:00+00:00,test,-0.0001499057767751089,0.03346333768805872,0.1656135075117897,0.0037576396223194973,0.003757578655364754
337,337,2026-04-05 00:00:00+00:00,test,-5.4919959752486564e-05,0.0156973930655835,0.5113301342827117,0.002750973926426914,0.0027509288849634807
338,338,2026-04-06 00:00:00+00:00,test,-0.00015159661699874443,0.04022861202473703,0.12362105822976359,0.0043716711823784315,0.004371598713143987
339,339,2026-04-07 00:00:00+00:00,test,-0.000160546667505626,0.027567728149669714,0.4671416398004803,0.0030024395463340453,0.003002387667480751
340,340,2026-04-08 00:00:00+00:00,test,-0.00013208531625287092,0.02300899406488082,0.10975878518130688,0.0021191097655761763,0.0021190753720724924
341,341,2026-04-09 00:00:00+00:00,test,-0.0001108465409752306,-0.0189356174091235,1.5086643445881696,0.0009491127109059479,0.0009490970079114702
342,342,2026-04-10 00:00:00+00:00,test,-0.00010764881563007423,0.008705188071656827,0.22809973576089593,0.0011727748474955777,0.0011727571029874297
343,343,2026-04-11 00:00:00+00:00,test,-0.00016616392718986746,0.017612934112857595,0.1985575038460064,0.0020433068758055005,0.0020432705432096
344,344,2026-04-12 00:00:00+00:00,test,-6.625712545301627e-05,0.011392971296997283,0.6597104073267517,0.003485628105599083,0.0034855692198086643
345,345,2026-04-13 00:00:00+00:00,test,-0.00017814443482352385,0.029883291726679577,0.21269624284036767,0.0032814010888916416,0.003281343348863766
346,346,2026-04-14 00:00:00+00:00,test,-2.0404278545579976e-05,0.0094203006043381,0.0045196874441122345,0.0008882107756856528,0.0008881963103473209
347,347,2026-04-15 00:00:00+00:00,test,-0.00018975508852682563,0.03629738546730481,0.24116452059794102,0.004309706155544565,0.004309631084810977
348,348,2026-04-16 00:00:00+00:00,test,-0.00020000000000000004,0.03265551288873446,0.103608141642921,0.0036450074300889922,0.0036449434300889916
349,349,2026-04-17 00:00:00+00:00,test,-0.00012000000000000002,0.025868984546361412,0.004097964589269754,0.0024887553611315297,0.0024887105611315296
350,350,2026-04-18 00:00:00+00:00,test,-4.3455338423918944e-05,0.024773932508298763,0.4584226807679094,0.0029678567636019027,0.0029678036661210205
351,351,2026-04-19 00:00:00+00:00,test,-0.00022084187132215147,0.03157780950416357,0.38781888802755693,0.004142590943553029,0.004142520461494168
352,352,2026-04-20 00:00:00+00:00,test,-0.00022470507392142623,0.037831299567993866,0.06609796417175397,0.0037317967568641303,0.003731730714377811
